"Date(UTC)","UnixTimeStamp","Value"
"10/26/2017","1508976000","466406"
"10/27/2017","1509062400","486147"
"10/28/2017","1509148800","484554"
"10/29/2017","1509235200","494176"
"10/30/2017","1509321600","532626"
"10/31/2017","1509408000","519906"
"11/1/2017","1509494400","527783"
"11/2/2017","1509580800","529277"
"11/3/2017","1509667200","485790"
"11/4/2017","1509753600","398758"
"11/5/2017","1509840000","417102"
"11/6/2017","1509926400","511663"
"11/7/2017","1510012800","470418"
"11/8/2017","1510099200","480413"
"11/9/2017","1510185600","467172"
"11/10/2017","1510272000","457427"
"11/11/2017","1510358400","394378"
"11/12/2017","1510444800","434380"
"11/13/2017","1510531200","443176"
"11/14/2017","1510617600","475984"
"11/15/2017","1510704000","540593"
"11/16/2017","1510790400","491482"
"11/17/2017","1510876800","508590"
"11/18/2017","1510963200","459679"
"11/19/2017","1511049600","464563"
"11/20/2017","1511136000","530141"
"11/21/2017","1511222400","524044"
"11/22/2017","1511308800","546489"
"11/23/2017","1511395200","537068"
"11/24/2017","1511481600","525529"
"11/25/2017","1511568000","561166"
"11/26/2017","1511654400","542484"
"11/27/2017","1511740800","608695"
"11/28/2017","1511827200","638989"
"11/29/2017","1511913600","663579"
"11/30/2017","1512000000","655457"
"12/1/2017","1512086400","622720"
"12/2/2017","1512172800","627785"
"12/3/2017","1512259200","693808"
"12/4/2017","1512345600","701834"
"12/5/2017","1512432000","693090"
"12/6/2017","1512518400","791746"
"12/7/2017","1512604800","659068"
"12/8/2017","1512691200","766411"
"12/9/2017","1512777600","707223"
"12/10/2017","1512864000","716575"
"12/11/2017","1512950400","828899"
"12/12/2017","1513036800","872340"
"12/13/2017","1513123200","909631"
"12/14/2017","1513209600","942559"
"12/15/2017","1513296000","904346"
"12/16/2017","1513382400","899857"
"12/17/2017","1513468800","876574"
"12/18/2017","1513555200","984021"
"12/19/2017","1513641600","1092234"
"12/20/2017","1513728000","986104"
"12/21/2017","1513814400","1072665"
"12/22/2017","1513900800","1103523"
"12/23/2017","1513987200","918881"
"12/24/2017","1514073600","758234"
"12/25/2017","1514160000","752361"
"12/26/2017","1514246400","813510"
"12/27/2017","1514332800","912752"
"12/28/2017","1514419200","949503"
"12/29/2017","1514505600","1090191"
"12/30/2017","1514592000","1136659"
"12/31/2017","1514678400","946981"
"1/1/2018","1514764800","908945"
"1/2/2018","1514851200","1153936"
"1/3/2018","1514937600","1238030"
"1/4/2018","1515024000","1349890"
"1/5/2018","1515110400","1271577"
"1/6/2018","1515196800","1226417"
"1/7/2018","1515283200","1152722"
"1/8/2018","1515369600","1215473"
"1/9/2018","1515456000","1256240"
"1/10/2018","1515542400","1177685"
"1/11/2018","1515628800","1173965"
"1/12/2018","1515715200","1118757"
"1/13/2018","1515801600","1179321"
"1/14/2018","1515888000","1081593"
"1/15/2018","1515974400","1206420"
"1/16/2018","1516060800","1277936"
"1/17/2018","1516147200","1277083"
